id	X184A1	X184B5	X21MT1	X21NT	X21PT	X600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
class	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000005001	1.89	3.31	5.85	5.43	5.78	4.84	6.7	4.09	5.37	0	3.58	5.14	4.07	3.96	4	0	5.36	5.1	6.7	2.8	3.5	5.7	4.43	3.8	1.03	6.68	0	4.38	5.22	0	3.93	1.58	4.15	4.12	5.2	0.12	5.16	5.37	3.92	6.34	0	4.34	5.41	4.69	5.39	5.59	4.64	5.96	6.78	6.71	5	4.92
ENSG00000008283	6.13	5.39	7.77	7.36	7.42	6.35	7.78	5.52	6.89	4.03	6.02	8.33	9.49	8.29	5.34	3.46	7.04	7.59	6.95	6.18	5.84	6.34	7.55	6.51	4.74	6.13	5.31	6.32	8.48	5.01	5.73	5.14	7.22	6.48	6.95	5.58	8.92	7.43	7.01	7.66	3.97	6.69	7.94	7.24	8.68	7.62	7.92	7.12	8.64	8.15	6.6	7.64
ENSG00000013588	8.28	7.89	7.36	6.8	7.01	6.14	6.57	4.38	7.87	3.49	4.12	6.67	6.29	7.56	7.86	0.68	6.58	3.63	5.03	6.91	5.62	7.12	6.73	6.02	4.41	7.19	3.57	7.69	5.66	6.58	9.2	6.96	6.2	7.06	8.76	5.83	3.13	4.08	5.88	3.35	5.32	6.86	4.79	6.55	7.07	4.65	4.27	6.29	7.36	4.32	6.67	5.24
ENSG00000019549	6.01	5.19	4.23	4.15	4.4	0	0.11	0.04	0.9	4.73	0.08	0.04	0.04	0	1.9	4.94	0	0	2.68	4.41	3.57	3.56	3.26	0.9	5.2	2.99	5.38	5	0.1	5.54	6.07	5.91	0.19	0	0.78	2.5	0.74	0.12	4.82	0	5.2	1.52	0.48	5.09	2.83	0	0	0.14	0	0	0.06	0
ENSG00000026025	3.42	1.75	8.61	7.93	8.16	1.09	0.9	2.65	2.25	10.56	1.38	0.24	1.56	0.16	10.62	10.64	1.55	0	7.31	3.52	5.58	7.51	3.93	8.65	10.54	7.11	12.21	3.63	4.72	9.17	10.76	10.15	1.14	6.61	0.71	10.5	0.43	1.44	10.42	0.88	13.42	7.5	1.77	8.72	1.35	2.95	1.22	5.09	0.89	1.34	0.16	0.11
ENSG00000026508	9.12	8.57	8.4	8.3	8.42	3	4.08	3.44	4.55	8.79	2.1	2.93	5.28	5.95	9.38	8.08	2.49	6.27	9.6	11.01	9.1	10.43	7.76	7.93	8.24	7.39	10.37	10.51	4.61	8.76	9.06	8.38	3.44	6.49	2.17	7.86	6.15	1.52	8.19	2.17	9.44	8.4	8.04	8.86	0.2	5.65	5.85	5.67	5.35	4.86	5.91	0.68
ENSG00000049283	5.25	4.98	5.01	5.06	5.1	4.28	6.7	6.57	6.37	0.1	4.93	8.25	6.93	8.53	4.36	0.03	5.98	6.6	5.16	4.37	3.8	5.01	7.44	3.5	0.34	4.85	0.07	6.36	7.58	1.2	1.34	0.79	5.5	4.9	6.61	0	7.47	6.76	3.84	6.3	0.64	4.36	4.01	5.95	6.68	6.8	6.83	6.96	7.55	6.91	5.79	6.47
ENSG00000049323	4.51	3.91	0.82	1.29	0.87	3.97	5.54	3.06	4.03	3.42	5.24	2.62	5.15	3.67	2.04	3.84	2.44	1.89	3.36	1.12	1.1	3.47	5.5	2.24	1.98	3.22	6.42	3.56	4.46	6.51	4.59	6.41	3.11	3.65	3.16	3.49	3.17	3.6	2.53	4.26	4.72	1.04	2.3	1.96	3.12	3.84	3.57	3	4.03	3.9	3.66	3.02
ENSG00000057149	2.04	2.27	0.77	2.37	1.4	0	0.06	0	0	0	0	0	0	0	0	0.07	0	0	0.1	0.49	1.05	4.01	3.74	0.15	0	6.49	0	0.12	0	1.96	4.05	2.88	0	0	0	0	0	0	3.86	0	0	2.86	0	1.82	0	0	0	0	0	0	0	0
