id	class	ENSG00000005001	ENSG00000008283	ENSG00000013588	ENSG00000019549	ENSG00000026025	ENSG00000026508	ENSG00000049283	ENSG00000049323	ENSG00000057149	ENSG00000064270	ENSG00000064787	ENSG00000065361	ENSG00000072071	ENSG00000073350	ENSG00000085831	ENSG00000088002	ENSG00000089327	ENSG00000089356	ENSG00000091986	ENSG00000100031	ENSG00000100311	ENSG00000103067	ENSG00000104413	ENSG00000105971	ENSG00000107485	ENSG00000110169	ENSG00000110171	ENSG00000111540	ENSG00000112877	ENSG00000113494	ENSG00000115267	ENSG00000115468	ENSG00000116299	ENSG00000117472	ENSG00000119888	ENSG00000122641	ENSG00000122863	ENSG00000124126	ENSG00000129514	ENSG00000130545	ENSG00000131037	ENSG00000132746	ENSG00000133195	ENSG00000134954	ENSG00000135046	ENSG00000137193	ENSG00000137440	ENSG00000139531	ENSG00000139832	ENSG00000143412	ENSG00000143416	ENSG00000143578	ENSG00000143878	ENSG00000146648	ENSG00000147065	ENSG00000148396	ENSG00000149573	ENSG00000151117	ENSG00000155380	ENSG00000160179	ENSG00000160180	ENSG00000161921	ENSG00000162078	ENSG00000162105	ENSG00000162616	ENSG00000163220	ENSG00000163734	ENSG00000164086	ENSG00000165731	ENSG00000166396	ENSG00000167183	ENSG00000167861	ENSG00000168350	ENSG00000168497	ENSG00000168528	ENSG00000168672	ENSG00000171124	ENSG00000173890	ENSG00000174233	ENSG00000174669	ENSG00000175274	ENSG00000175416	ENSG00000175600	ENSG00000176014	ENSG00000176387	ENSG00000177469	ENSG00000179195	ENSG00000182379	ENSG00000183779	ENSG00000183853	ENSG00000184012	ENSG00000184254	ENSG00000185567	ENSG00000189280	ENSG00000196187	ENSG00000196656	ENSG00000196754	ENSG00000197119	ENSG00000198034	ENSG00000203306	ENSG00000204219	ENSG00000204267	ENSG00000206075	ENSG00000214530	ENSG00000226287	ENSG00000227036	ENSG00000235750	ENSG00000241978	ENSG00000249992	ENSG00000254087
X184A1	Normal-like	1.89	6.13	8.28	6.01	3.42	9.12	5.25	4.51	2.04	1.22	0	2.41	2.09	4.63	0.43	0.29	9.85	9.79	3.03	1.75	1.93	4.95	5.66	7.6	5.39	1.21	4.22	4.94	2.73	0	1.12	0.32	0.97	6.2	2.73	2.82	4	1.28	2.49	4.37	3.45	2.51	2.96	4.6	8.47	3.26	7.18	3.67	3.2	0.63	0	2.68	5.87	6.34	7.06	5.17	6.27	1.08	6.46	2	0	2.63	2.98	1.58	3.79	7.57	0.88	6.09	0	3.53	0	2.82	0	5.09	9.54	3.56	1.54	0.04	4.15	2.89	4.07	8.37	4.56	8.9	3.19	7.27	3.75	2.15	2.22	4.61	0	7.36	5.1	5.73	3.08	11.04	12.81	3.06	10.46	6.2	1.84	5.25	7.2	6.63	5.19	5.21	3.75	5.3	1.03	3.52
X184B5	Normal-like	3.31	5.39	7.89	5.19	1.75	8.57	4.98	3.91	2.27	1.36	0.1	3.72	4.04	5.47	0.76	3.91	9.04	11.15	6.44	3.97	0.11	5.59	5.84	7.18	4.52	0.58	4.29	6.17	1.89	0.01	2	0.07	0.77	7.3	4.04	1.61	4.2	0.25	1.95	5.2	6.58	3.08	3.68	1.89	8.99	4.46	5.94	3.5	1.3	2.67	0	3.69	5.46	5.95	6.36	4.55	6.4	1.48	5.71	1.39	0.11	4.03	0.88	0.03	4.22	9.53	0.93	5.44	0.07	7.33	4.82	2.8	0.42	4.65	8.07	4.56	2.34	0.16	4.35	3.29	1.01	8.61	6.45	8.4	4.67	6.65	4.78	0.95	2.28	3.79	0.27	6.98	6.31	6.17	3.37	10.65	11.98	4.74	10.5	3.6	1.28	5.63	8.12	6.4	4.26	5.16	4.42	3.59	0.24	2.37
X21MT1	Basal	5.85	7.77	7.36	4.23	8.61	8.4	5.01	0.82	0.77	4.25	0.11	5.52	5.54	6.61	4.13	4.95	8.49	7.45	2.95	1.8	3.14	6.19	5.36	6.69	3.25	0.27	4.47	4.75	3.08	0.18	1.89	3.38	0.55	7.23	7.05	5.87	2.57	2.48	5.83	4.99	5.83	3.14	4.87	4.71	7.34	3.6	2.08	3.8	4.87	1.16	2.32	4.24	5.37	5.78	8.35	5.38	5.18	0.23	5.87	0.39	1.31	4.65	3.46	3.01	2.77	8.72	3.09	5.53	0.01	1.69	2.27	3.79	0.12	0.33	6.15	5.3	4.64	0.57	3.88	5.79	2.56	7.23	1.53	7.04	3.42	5.6	4.9	2.38	1.78	5.35	0.36	5.5	3.69	5.61	6.25	10.02	5.83	4.2	9.34	3.18	1.96	5.76	3.82	7.16	3.92	4.28	3.56	3.35	3.45	4.35
X21NT	Basal	5.43	7.36	6.8	4.15	7.93	8.3	5.06	1.29	2.37	2.59	0.23	5.69	5.88	6.32	4.27	5.57	8.05	6.56	3.34	1.08	2.4	6.21	5.53	6.43	3.69	0.57	3.54	5.66	3.76	0.25	2.16	2.49	0.7	6.97	7.03	4.91	3.51	2.67	5.02	4.77	5.82	3.93	4.6	4.57	7.57	3.89	2.89	4.18	4.02	1.81	4.26	4.1	5.69	5.94	7.65	5.14	5.83	0.43	6.07	0.41	0.57	4.86	3.7	2.96	3.4	9.42	2.58	5.13	0.01	2.66	2.23	3.82	0.6	0.82	5.92	4.65	4.25	0.7	4.5	5.9	3.78	6.6	1.51	7.38	3.88	5.84	4.53	2.7	1.06	5.42	0.4	5.24	3.83	5.11	6.61	10.15	6.66	4.2	9.16	3.43	2.12	5.77	4.17	6.52	2.35	4.19	3.88	3.57	3.51	4.27
X21PT	Basal	5.78	7.42	7.01	4.4	8.16	8.42	5.1	0.87	1.4	3.03	0.04	5.85	6.05	5.91	4	5.77	8.44	6.14	3.56	1.84	2.74	6.21	5.44	6.54	3.82	0.25	3.17	5.22	4.13	0.25	2.13	2.61	0.41	7.33	6.88	5.25	3.83	2.81	5.29	4.92	5.5	3.55	4.74	4.71	7.27	3.55	2.02	3.79	4.14	1.66	3.72	3.88	5.4	6.3	7.51	5.33	5.24	0.2	6.28	0.03	1.06	4.91	4.35	3.63	2.97	9.22	2.97	5.38	0	2.63	2.48	4.19	0.61	0.72	6.03	4.7	4.13	0.4	4.09	6.14	3.94	6.81	1.29	7.61	3.73	6.03	4.65	2.86	1.12	5.68	0.31	4.91	3.55	5.31	6.48	10.17	6.59	3.77	9.06	3.16	2.39	6.09	4.05	6.32	2.48	4.18	3.78	3.98	3.74	4.29
X600MPE	Luminal	4.84	6.35	6.14	0	1.09	3	4.28	3.97	0	4.2	3.75	6.91	4.58	5.5	5.18	2.16	7.23	9.3	1.64	3.73	2.55	4.76	6.42	4.11	4.17	1.97	5.69	5.71	2.09	1.42	3.22	7.04	6.28	7.04	8.21	0	0.68	3.54	6.67	2.82	6.94	4.09	5.07	0	6.26	1.24	0.83	4.1	5.89	4.09	6.54	7.34	6.45	3.6	3.11	5.45	3.42	3.32	0.58	3.1	6.47	4.68	7.18	4.28	3.41	7.38	0	1.84	0.19	0.71	5.98	5.77	2.28	0	5.86	5.97	3.7	3.85	5.05	5.02	6.26	5.27	1.68	0.37	0	0.39	6.13	0.3	4.21	3.61	3.08	4.11	1.32	0	7.27	9.01	3.85	5.27	10.02	1.76	5.12	3.08	3.54	7.12	1.61	1.89	4.86	2.97	0	2.56
AU565	Luminal	6.7	7.78	6.57	0.11	0.9	4.08	6.7	5.54	0.06	5.27	6.61	7.73	5.94	7.36	7.87	4.44	7.98	9.13	2.16	7.63	4.21	6.58	3.52	0.99	3.3	5	7.06	5.12	3.92	3.73	2.64	7.2	6.51	5.16	6.65	0.4	0.29	6.44	6.9	4.96	7.33	6.85	5.22	1.61	1.53	2.15	0.07	5.32	5.16	3.42	9.64	7.56	7.75	5.59	1.37	5.87	5.61	2.48	0.61	3.78	4.23	1.1	5.13	4.39	1.61	10.81	0	3.27	1.5	0	4.63	7.95	2.52	0	7.91	4.22	3.76	3.82	6.75	6.25	7.21	7.54	0.44	5.97	4.8	1.77	5.73	5.04	3.88	1.96	4.02	5.19	0.08	1.52	7.49	10.39	2.33	5.59	9.67	4.53	2.68	5.63	0.07	9.22	5.69	0.78	4.87	4.04	0.04	0.2
BT474	Luminal	4.09	5.52	4.38	0.04	2.65	3.44	6.57	3.06	0	4.61	8.24	6.47	4.52	5.93	5.67	5.38	0.24	8.27	0.18	3.55	3.63	5.92	6.85	0.53	5.91	4.38	5.98	6.13	3.1	5.31	1.99	7.48	6.84	7.39	7.58	0.12	2.16	5.8	7.42	3.61	5.76	8.83	4.26	0	1.94	1.97	0	3.96	3.65	1.63	5.75	7.62	6.97	3.16	0.12	6.52	3.18	4.04	0.44	2.97	8.75	2.15	5.35	4.99	1.16	0.41	0	2.72	5.3	0	5.57	6.49	4.83	0	6.51	6.05	0.41	5.78	4.07	5.07	6.48	6.13	0.07	3.69	1.84	0	6.95	0.99	3.18	0.07	4.3	1.7	0.31	0.08	5.38	9.06	2.34	5.18	8.88	0.95	2.09	2.4	0.52	9.59	3.5	0.54	5.08	1.52	0.97	0.51
BT483	Luminal	5.37	6.89	7.87	0.9	2.25	4.55	6.37	4.03	0	4.74	4.28	7.57	5.15	6.7	7.35	5.16	3.92	8.24	0.33	4.13	6.31	6.88	6.7	1.62	8.83	3.04	5.6	6.2	3.07	5.94	3.78	7.85	6.43	4.86	6.79	2.28	0.03	7.36	7.53	4.36	7.35	6.02	5.01	0.01	3.48	1.66	0.15	4.69	4.03	5.94	6.42	7.31	7.44	1.39	0.5	6.22	3.15	2.44	1.4	4.21	10.01	4.49	5.43	4.5	1.85	6.39	0	2.76	3.23	0	5.38	7.34	6.33	0.03	6.99	5.2	1.26	3.89	5.51	4.02	6.02	6.73	0.12	1.82	3.01	0.2	6.74	3.75	7.6	0.66	2.64	1.26	1.36	0.07	6.34	9.49	2.28	7.31	8.45	1.12	4.87	5	0.29	10.3	5.74	1.11	6.09	0.62	0	1.21
BT549	Claudin-low	0	4.03	3.49	4.73	10.56	8.79	0.1	3.42	0	0.06	0.2	0.19	5.17	1.38	0.03	0.14	9.47	0.16	7.22	1.21	1.45	0.27	0.25	6.73	0.08	0.21	4.39	4.29	3.32	1.66	0.08	1.2	0.69	1.08	0	5.27	4.18	0.03	1.26	0	3.04	0.31	2.28	6.11	7.41	3.84	0	3.07	2.09	0.21	0.06	2.11	4.19	4.94	8.2	4.7	0	0.57	5.84	0.08	0	4.39	0	0.01	6.48	1.1	1.79	5.33	0.15	3.15	0	0.26	0	0.04	0.38	1.58	0	0.59	3.64	1.74	0.03	6.47	3.08	7.37	0.85	8.06	4.65	3.36	2.72	6.21	0	0.19	3.81	0.07	2.63	9.76	7.19	4.8	9.88	0.77	0	5.07	0.06	4.11	1.77	0.29	0	5.24	6.89	0.36
